,precision,recall,f1-score,support
Abyssinian,0.9861111111111112,0.9466666666666667,0.9659863945578231,75.0
Bombay,0.961038961038961,0.9866666666666667,0.9736842105263158,75.0
Egyptian Mau,0.9733333333333334,0.9733333333333334,0.9733333333333334,75.0
Exotic Shorthair,0.8313253012048193,0.92,0.8734177215189873,75.0
Himalayan,0.96,0.96,0.96,75.0
Maine Coon,0.9054054054054054,0.8933333333333333,0.8993288590604027,75.0
Russian Blue,0.9367088607594937,0.9866666666666667,0.961038961038961,75.0
Scottish Fold,0.9692307692307692,0.84,0.9,75.0
Siamese,0.974025974025974,1.0,0.9868421052631579,75.0
Sphynx,1.0,0.9733333333333334,0.9864864864864865,75.0
accuracy,0.948,0.948,0.948,0.948
macro avg,0.9497179716109867,0.9480000000000001,0.9480118071785467,750.0
weighted avg,0.9497179716109867,0.948,0.9480118071785467,750.0
